,TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SIDO_3,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,trip_day,pre_PAYMENT_load,COMPANION_AGE_avg,PAYMENT_AMT_WON,payment_bin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,자연,도시,숙박,당일,새로운지역,익숙한지역,편하지만비싼숙소,불편하지만저렴한숙소,휴식,체험활동,알려지지않은여행지,알려진여행지,계획,즉흥,사진중요하지않음,사진중요
69,a001448,5,1,20,7,0,0,2,4,2,4,8,1,0,6,9,1,1,3,0.7,25.0,621770.0,1.0,1,0,1,0,1,0,0,0,0,0,1,0,3,0,2,0,2,0,1,0,0,0,0,1,0,3
70,a002024,10,0,20,7,0,2,13,4,2,2,15,8,1,16,1,1,1,2,0.7,25.0,305200.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,1,0,2,0
71,a005173,3,0,30,6,0,1,1,3,2,3,15,9,3,11,1,1,1,1,0.5,35.0,103600.0,0.0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,2,0,2,0,0,2,0,2
72,a001976,0,1,20,6,0,3,13,1,1,0,8,0,8,8,1,4,0,2,0.5,20.0,167800.0,0.0,1,1,0,1,0,0,0,0,0,0,0,2,0,2,0,2,1,0,1,0,0,0,0,2,0,2
73,a011479,4,1,30,5,0,1,3,0,1,0,0,7,1,4,1,4,0,2,0.3,30.0,399960.0,0.0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,3,0,0,2,3,0,3,0
74,a007595,3,0,30,6,0,2,3,3,1,0,8,15,7,11,9,1,1,1,0.5,25.0,7000.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,3,0,0,0,1,0,1,0
75,a000014,0,0,50,7,1,2,1,11,2,4,8,7,15,8,1,1,7,2,0.5,57.0,254430.0,0.0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,0,2,2,0,2,0,0,2,2,0,0,3
76,a018116,0,0,60,6,1,1,12,2,2,0,14,1,12,8,1,0,1,1,0.5,60.0,39300.0,0.0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,1,0,1,0,1,0,0,2
77,a003176,12,1,30,6,0,2,2,3,2,9,0,4,7,13,9,3,4,2,1.0,35.0,1286800.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,3,0,2,0,2,0,0,2,1,0,0,1,1,0
78,a002237,9,1,20,7,0,4,7,0,1,0,0,15,8,0,9,4,0,2,0.6,20.0,299500.0,0.0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,0,3,3,0,3,0,3,0,0,3,3,0
79,a015750,0,1,30,6,0,2,12,0,2,1,1,1,8,8,12,4,0,3,0.5,30.0,155585.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,2,0
80,a005736,0,1,40,7,1,3,2,4,2,2,7,7,8,8,1,2,4,1,0.5,25.0,106500.0,0.0,1,1,0,0,0,0,1,0,0,0,3,0,0,3,0,3,0,3,3,0,0,3,3,0,3,0
81,a001333,16,0,20,6,0,2,5,1,2,2,15,8,0,14,1,3,2,4,0.3,35.0,736350.0,1.0,1,0,1,0,0,0,1,0,0,0,3,0,3,0,3,0,0,0,1,0,3,0,0,3,0,0
82,a004008,0,1,30,7,0,1,1,3,2,1,7,7,8,8,1,4,0,2,0.5,30.0,154000.0,0.0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,3,0,1,0,2,0,0,1
83,a001915,9,1,20,6,0,3,2,3,1,0,8,8,8,0,1,5,3,1,0.5,35.0,109000.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,2,0,2,0,0,0,0,0
84,a000510,5,0,30,8,0,0,1,5,2,2,13,10,0,6,12,1,1,3,0.2,25.0,221700.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0,1,1,0,0,1,0,1
85,a001563,0,1,30,6,1,1,2,4,2,1,15,8,7,8,1,0,1,2,0.5,35.0,101400.0,0.0,1,0,1,0,0,0,0,1,0,0,2,0,2,0,0,2,2,0,2,0,1,0,2,0,0,2
86,a006668,0,1,30,7,1,2,2,7,2,3,15,15,7,8,1,6,2,1,0.5,20.0,133400.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,3,0,2,2,0,0,2
87,a006197,8,1,30,6,1,1,1,0,2,3,15,1,12,1,1,4,2,1,0.5,75.0,25000.0,0.0,1,0,0,0,0,1,0,1,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0,0,1
88,a000080,2,0,20,5,0,0,13,3,2,1,0,1,13,5,9,1,1,8,0.0,25.0,647000.0,1.0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,2,0,0
89,a018176,0,1,30,7,0,0,2,4,1,3,8,15,7,8,1,1,1,1,0.5,35.0,60000.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,3,0,3,0,1,0,2,0,0,2,2,0,0,2
90,a010455,8,0,40,7,1,3,2,7,1,5,8,7,15,1,1,6,3,1,0.5,15.0,42800.0,0.0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0
91,a003411,3,1,20,6,0,2,11,1,1,1,15,15,8,11,9,1,1,1,0.5,25.0,14000.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0
92,a008084,12,1,20,5,0,2,2,2,1,0,12,15,15,13,9,3,2,3,0.5,35.0,637916.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0
93,a017831,0,1,20,6,0,3,12,3,2,3,13,10,12,8,12,1,1,1,0.5,35.0,50200.0,0.0,1,1,1,0,0,0,0,0,0,0,3,0,3,0,3,0,1,0,0,2,1,0,1,0,0,1
94,a003137,8,1,30,6,1,3,2,5,2,2,15,7,15,1,1,3,2,3,0.5,35.0,210700.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,2,0,2,0,0,0,1,0,1,0,0,1
95,a006565,8,0,30,6,1,2,2,4,2,2,15,8,7,1,12,6,2,1,0.5,20.0,6000.0,0.0,0,1,1,0,0,0,0,0,0,1,3,0,3,0,0,0,3,0,2,0,2,0,2,0,1,0
96,a000413,1,0,20,4,0,7,8,1,1,2,15,0,1,7,9,4,1,3,0.1,25.0,459332.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,1,0,0,3
