TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
b_b005674,불국사,경북,경주시,2.0,5.0,5.0,5.0,60.0,1,b005674,2,남,20,4,1,1,1,6,2,1,6,7,3,1,2
b_b005674,동궁과월지,경북,경주시,2.0,5.0,5.0,5.0,30.0,1,b005674,2,남,20,4,1,1,1,6,2,1,6,7,3,1,2
b_b005674,경주핑크뮬리군락지,경북,경주시,1.0,5.0,5.0,5.0,30.0,0,b005674,2,남,20,4,1,1,1,6,2,1,6,7,3,1,2
b_b005674,황리단길,경북,경주시,4.0,5.0,5.0,5.0,60.0,1,b005674,2,남,20,4,1,1,1,6,2,1,6,7,3,1,2
b_b005674,첨성대,경북,경주시,2.0,5.0,5.0,5.0,30.0,1,b005674,2,남,20,4,1,1,1,6,2,1,6,7,3,1,2
b_b001002,환선굴,강원,삼척시,2.0,5.0,5.0,5.0,180.0,0,b001002,1,남,40,6,2,2,2,4,6,3,5,4,1,1,3
b_b001002,삼척해변,강원,삼척시,1.0,4.0,4.0,4.0,90.0,0,b001002,1,남,40,6,2,2,2,4,6,3,5,4,1,1,3
b_b009433,합천영상테마파크,경남,합천군,6.0,5.0,4.0,4.0,120.0,0,b009433,24,남,20,1,2,7,1,7,1,1,7,7,7,4,0
b_b004637,태화강국가정원 십리대숲,울산,중구,6.0,5.0,5.0,5.0,90.0,0,b004637,22,남,20,7,6,1,1,3,6,4,2,6,3,3,1
b_b004550,BIFF광장,부산,중구,4.0,4.0,4.0,4.0,60.0,1,b004550,4,남,20,4,3,1,4,5,5,3,2,6,2,8,1
b_b004550,태종대유원지,부산,영도구,1.0,4.0,4.0,4.0,90.0,1,b004550,4,남,20,4,3,1,4,5,5,3,2,6,2,8,1
b_b004550,흰여울문화마을,부산,영도구,7.0,4.0,3.0,3.0,90.0,0,b004550,4,남,20,4,3,1,4,5,5,3,2,6,2,8,1
b_b004471,속초해수욕장,강원,속초시,1.0,5.0,5.0,5.0,30.0,1,b004471,4,남,40,4,3,2,3,2,2,1,6,5,1,3,0
b_b004471,속초해수욕장,강원,속초시,1.0,5.0,5.0,5.0,30.0,1,b004471,4,남,40,4,3,2,3,2,2,1,6,5,1,3,0
b_b004471,경포해수욕장,강원,강릉시,1.0,5.0,5.0,5.0,30.0,1,b004471,4,남,40,4,3,2,3,2,2,1,6,5,1,3,0
b_b004471,낙산해변,강원,양양군,1.0,4.0,4.0,4.0,30.0,1,b004471,4,남,40,4,3,2,3,2,2,1,6,5,1,3,0
b_b004471,이마트 속초점,강원,속초시,4.0,5.0,5.0,5.0,30.0,1,b004471,4,남,40,4,3,2,3,2,2,1,6,5,1,3,0
b_b003949,해리단길,부산,해운대구,4.0,4.0,4.0,5.0,60.0,1,b003949,23,여,30,4,7,7,2,1,4,7,3,6,2,1,1
b_b003949,해운대해수욕장,부산,해운대구,1.0,5.0,5.0,5.0,60.0,1,b003949,23,여,30,4,7,7,2,1,4,7,3,6,2,1,1
b_b006574,황산공원,경남,양산시,1.0,4.0,3.0,3.0,60.0,0,b006574,2,여,40,4,1,4,3,2,2,4,5,7,3,1,3
b_b006574,법기수원지,경남,양산시,1.0,3.0,4.0,4.0,60.0,0,b006574,2,여,40,4,1,4,3,2,2,4,5,7,3,1,3
b_b018535,해동용궁사,부산,기장군,2.0,4.0,4.0,4.0,30.0,1,b018535,1,남,30,4,1,7,1,7,7,1,1,7,3,3,2
b_b018535,벡스코 제2전시장,부산,해운대구,3.0,4.0,4.0,4.0,90.0,0,b018535,1,남,30,4,1,7,1,7,7,1,1,7,3,3,2
b_b018535,신세계백화점 센텀시티점,부산,해운대구,4.0,3.0,4.0,4.0,60.0,0,b018535,1,남,30,4,1,7,1,7,7,1,1,7,3,3,2
b_b008098,오대산국립공원,강원,강릉시,1.0,5.0,5.0,5.0,180.0,1,b008098,28,남,30,7,2,2,1,3,7,7,1,6,2,1,0
b_b012303,성인대,강원,고성군,1.0,3.0,4.0,4.0,180.0,0,b012303,28,여,20,4,5,2,2,6,4,2,6,3,1,4,0
