SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
강원,경포해수욕장,강릉시,1.0,64.28571428571429,4.333333333333333,0.6666666666666666,1.6666666666666667,4.380952380952381
강원,강문해변,강릉시,1.0,56.25,4.3125,0.40625,1.84375,4.25
강원,낙산해변,양양군,1.0,72.0,4.3,0.3,1.5,4.3
강원,낙산사,양양군,2.0,87.5,4.458333333333333,0.4583333333333333,2.1666666666666665,4.333333333333333
강원,휴휴암,양양군,2.0,51.0,4.4,0.2,2.0,4.3
부산,광안리해수욕장,수영구,1.0,62.142857142857146,4.542857142857143,0.7428571428571429,1.0857142857142856,4.5
부산,센텀시티 스파랜드,해운대구,6.0,206.25,4.625,0.375,1.5,4.625
경북,캘리포니아비치,경주시,6.0,294.0,4.4,0.6,2.2,4.4
경북,무섬마을,영주시,7.0,60.0,4.5,0.0,1.6666666666666667,4.333333333333333
경북,홈플러스 경주점,경주시,4.0,40.0,4.0,0.3333333333333333,4.166666666666667,4.0
경북,경주엑스포대공원,경주시,6.0,105.88235294117646,4.0,0.1764705882352941,1.2941176470588236,3.764705882352941
경북,황리단길,경주시,4.0,67.77777777777777,4.25925925925926,0.5,1.4259259259259258,4.166666666666667
경북,경주월드,경주시,6.0,289.4117647058824,4.647058823529412,0.3529411764705882,2.117647058823529,4.529411764705882
경북,월영교,안동시,1.0,57.0,4.75,0.35,0.7,4.5
대구,서문시장,중구,4.0,60.0,4.235294117647059,0.3529411764705882,1.5294117647058822,3.882352941176471
경북,경주역사유적지구,경주시,2.0,54.0,4.6,0.4,0.8,4.6
경북,보문호,경주시,1.0,63.75,4.625,0.625,2.0,4.625
경북,대릉원,경주시,2.0,59.285714285714285,4.380952380952381,0.3809523809523809,1.738095238095238,4.261904761904762
강원,속초해수욕장,속초시,1.0,48.26086956521739,4.239130434782608,0.391304347826087,1.434782608695652,4.173913043478261
부산광역시,초량차이나타운,동구,4.0,51.42857142857143,3.571428571428572,0.2142857142857142,0.8571428571428571,3.642857142857143
부산,해운대해수욕장,해운대구,1.0,58.84615384615385,4.615384615384615,0.7884615384615384,1.1153846153846154,4.653846153846154
경북,보문정,경주시,1.0,36.0,4.0,0.0,1.4,4.0
경북,석굴암,경주시,2.0,57.5,4.166666666666667,0.25,1.75,4.0
경북,동궁과월지,경주시,2.0,47.755102040816325,4.306122448979592,0.3469387755102041,1.510204081632653,4.122448979591836
경북,첨성대,경주시,2.0,45.23809523809524,4.428571428571429,0.6825396825396826,1.4603174603174602,4.301587301587301
경북,월정교,경주시,2.0,39.47368421052632,4.289473684210527,0.2105263157894736,1.5526315789473684,4.2631578947368425
경북,구룡포일본인가옥거리,포항시,4.0,60.0,4.0625,0.0625,1.5,3.75
경북,환호공원 스페이스워크,포항시,6.0,49.61538461538461,4.384615384615385,0.0,1.5769230769230769,4.153846153846154
강원,경포대,강릉시,2.0,45.0,4.5,0.3,1.8,4.3
강원,속초아이,속초시,4.0,44.285714285714285,4.095238095238095,0.0,1.4285714285714286,3.809523809523809
강원,사천진해변,강릉시,1.0,36.0,4.2,0.2,1.8,4.2
강원,이마트 춘천점,춘천시,4.0,48.0,4.4,0.2,1.6,4.4
부산,흰여울문화마을,영도구,7.0,79.0909090909091,4.545454545454546,0.2424242424242424,0.8484848484848485,4.393939393939394
대구,신세계백화점 대구점,동구,4.0,77.36842105263158,4.2105263157894735,0.5789473684210527,1.0526315789473684,4.2105263157894735
경북,영일대해수욕장,포항시,1.0,107.14285714285714,4.214285714285714,0.1428571428571428,1.4285714285714286,4.071428571428571
대구,동성로로데오거리,중구,4.0,80.0,4.333333333333333,0.8333333333333334,1.0,4.0
강원,서피비치,양양군,5.0,57.0,4.1,0.2,1.4,4.1
강원,외옹치 바다향기로,속초시,7.0,45.0,4.333333333333333,0.3333333333333333,1.3333333333333333,4.166666666666667
강원,오죽헌,강릉시,2.0,62.30769230769231,4.0,0.4615384615384615,2.0,3.923076923076923
경북,낙강물길공원,안동시,1.0,48.46153846153846,4.461538461538462,0.0769230769230769,1.0,4.153846153846154
경북,경주문무대왕릉,경주시,2.0,45.0,3.5,0.25,1.0,3.375
경북,국립경주박물관,경주시,2.0,71.73913043478261,4.478260869565218,0.3043478260869565,1.2173913043478262,4.434782608695652
강원,허균허난설헌기념공원,강릉시,1.0,42.0,4.4,0.2,0.8,4.0
강원,안반데기,강릉시,1.0,90.0,3.8333333333333335,0.3333333333333333,1.6666666666666667,4.0
강원,사근진해변,강릉시,1.0,135.0,4.25,0.0,1.5,4.25
경북,불국사,경주시,2.0,72.0,4.333333333333333,0.5666666666666667,1.5,4.166666666666667
경북,병산서원,안동시,2.0,47.142857142857146,4.857142857142857,0.2857142857142857,1.4285714285714286,4.285714285714286
강원,영월관광센터,영월군,3.0,96.0,4.6,0.2,2.8,4.6
강원,DMZ박물관,고성군,2.0,45.0,3.5,0.3333333333333333,1.6666666666666667,3.333333333333333
강원,정선아리랑시장,정선군,4.0,56.25,4.125,0.25,2.375,4.25
강원,하이원 워터월드,정선군,6.0,312.5,4.5,0.1666666666666666,2.4166666666666665,4.5
강원,외옹치해변,속초시,1.0,60.0,4.2,0.2,1.4,4.2
울산,태화강국가정원,중구,1.0,71.25,4.8125,0.1875,0.9375,4.8125
울산,대왕암공원,동구,1.0,77.14285714285714,4.642857142857143,0.2142857142857142,1.5714285714285714,4.571428571428571
울산,간절곶,울주군,1.0,60.0,4.142857142857143,0.4285714285714285,1.2857142857142858,3.857142857142857
경북,경주보문관광단지,경주시,1.0,60.0,4.166666666666667,0.6666666666666666,1.6666666666666667,4.333333333333333
부산,밀락 더 마켓,수영구,4.0,57.85714285714285,3.928571428571429,0.0714285714285714,1.2857142857142858,3.7857142857142856
강원,추암촛대바위,동해시,1.0,45.0,4.375,0.5,2.25,4.375
강원,맹방해수욕장,삼척시,1.0,42.0,4.4,0.0,2.4,4.0
강원,삼척해변,삼척시,1.0,102.85714285714286,3.571428571428572,0.4285714285714285,2.2857142857142856,3.571428571428572
강원,쏠비치 삼척,삼척시,6.0,102.0,4.4,0.8,3.4,4.4
경북,경주오릉,경주시,2.0,42.0,4.0,0.2,1.4,4.0
부산,롯데백화점 부산본점,부산진구,4.0,76.36363636363636,4.090909090909091,0.6363636363636364,1.7272727272727273,4.2727272727272725
부산,자갈치시장,중구,4.0,50.526315789473685,3.842105263157895,0.5263157894736842,0.9473684210526316,3.789473684210526
부산,해운대블루라인파크 청사포정거장,해운대구,6.0,72.0,4.8,0.2,1.0,4.2
부산,청사포다릿돌전망대,해운대구,1.0,36.0,4.8,0.0,2.0,4.6
